0,1,0.0,0000ff
0,34,0.0,0000ff
1,2,0.0,0000ff
1,35,0.0,0000ff
2,3,0.0,0000ff
2,36,0.0,0000ff
3,4,0.000432,00ff00
3,37,0.046752,18ff00
4,5,0.022944,0cff00
4,38,0.0,0000ff
5,6,0.022944,0cff00
5,39,0.045888,17ff00
6,7,0.011472,06ff00
6,40,0.022944,0cff00
7,8,0.011472,06ff00
7,41,0.172944,58ff00
8,9,0.069696,24ff00
8,42,0.05736,1dff00
9,10,0.069696,24ff00
9,43,0.0,0000ff
10,11,0.000864,00ff00
10,44,0.0,0000ff
11,12,0.0,0000ff
11,45,0.0,0000ff
12,13,0.0,0000ff
12,46,0.000432,00ff00
13,14,0.0,0000ff
13,47,0.0,0000ff
14,15,0.0,0000ff
14,48,0.0,0000ff
15,16,0.0,0000ff
15,49,0.0,0000ff
16,17,0.0,0000ff
16,50,0.0,0000ff
17,18,0.0,0000ff
17,51,0.0,0000ff
18,19,0.0,0000ff
18,52,0.0,0000ff
19,20,0.0,0000ff
19,53,0.0,0000ff
20,21,0.0,0000ff
20,54,0.0,0000ff
21,22,0.0,0000ff
21,55,0.011472,06ff00
22,23,0.0,0000ff
22,56,0.000432,00ff00
23,24,0.0,0000ff
23,57,0.0,0000ff
24,25,0.0,0000ff
24,58,0.0,0000ff
25,26,0.0,0000ff
25,59,0.0,0000ff
26,27,0.0,0000ff
26,60,0.022944,0cff00
27,28,0.0,0000ff
27,61,0.0,0000ff
28,29,0.0,0000ff
28,62,0.0,0000ff
29,30,0.0,0000ff
29,63,0.0,0000ff
30,31,0.0,0000ff
30,64,0.0,0000ff
31,32,0.0,0000ff
31,65,0.0,0000ff
32,33,0.0,0000ff
32,66,0.0,0000ff
33,0,0.0,0000ff
33,67,0.0,0000ff
34,35,0.0,0000ff
34,68,0.0,0000ff
35,36,0.03528,12ff00
35,69,0.0,0000ff
36,37,0.038543,14ff00
36,70,0.0,0000ff
37,38,0.0,0000ff
37,71,0.0,0000ff
38,39,0.0,0000ff
38,72,0.000432,00ff00
39,40,0.0,0000ff
39,73,0.103744,35ff00
40,41,0.0,0000ff
40,74,0.022944,0cff00
41,42,0.0,0000ff
41,75,0.161308,52ff00
42,43,0.012336,06ff00
42,76,0.022944,0cff00
43,44,0.000864,00ff00
43,77,0.000432,00ff00
44,45,0.012336,06ff00
44,78,0.0,0000ff
45,46,0.012336,06ff00
45,79,0.0,0000ff
46,47,0.023808,0cff00
46,80,0.000432,00ff00
47,48,0.023808,0cff00
47,81,0.0,0000ff
48,49,0.03528,12ff00
48,82,0.0,0000ff
49,50,0.03528,12ff00
49,83,0.0,0000ff
50,51,0.046752,18ff00
50,84,0.0,0000ff
51,52,0.046752,18ff00
51,85,0.0,0000ff
52,53,0.05736,1dff00
52,86,0.0,0000ff
53,54,0.05736,1dff00
53,87,0.0,0000ff
54,55,0.0,0000ff
54,88,0.0,0000ff
55,56,0.120192,3dff00
55,89,0.165095,54ff00
56,57,0.034888,12ff00
56,90,0.126624,41ff00
57,58,0.034848,12ff00
57,91,0.0,0000ff
58,59,0.0,0000ff
58,92,0.0,0000ff
59,60,0.0,0000ff
59,93,0.0,0000ff
60,61,0.0,0000ff
60,94,0.022944,0cff00
61,62,0.0,0000ff
61,95,0.0,0000ff
62,63,0.0,0000ff
62,96,0.0,0000ff
63,64,0.0,0000ff
63,97,0.0,0000ff
64,65,0.0,0000ff
64,98,0.0,0000ff
65,66,0.0,0000ff
65,99,0.0,0000ff
66,67,0.0,0000ff
