145,5316,255,3,0
146,5316,256,3,0
147,5316,257,3,0
148,5316,258,3,0
175,5342,176,2,1
265,5316,5316,5,1,266,2,1
266,5316,5316,5,1,265,1,2,267,2,1
450,5316,451,2,1
636,5319,746,3,0
667,5341,777,3,0
1139,5365,5365,5,1,1138,1,2,1140,2,1
1148,5285,1147,1,2
1248,5365,5365,5,1,1138,0,3,1247,1,2
1249,5365,1248,1,2
1282,5374,1392,3,0
1291,5365,1181,0,3
1359,5365,1358,1,2
1389,5365,1388,1,2
1469,5365,1468,1,2
1499,5365,1498,1,2
1552,5330,1442,0,3
1579,5365,1578,1,2
1609,5365,1608,1,2
1689,5365,1688,1,2
1719,5365,1718,1,2
1829,5365,1828,1,2
1955,5313,2065,3,0
2050,5365,2049,1,2
2057,5379,2058,2,1
2076,5356,1966,0,3
2160,5365,2159,1,2
2270,5365,2269,1,2
2380,5365,2379,1,2
2486,5328,2487,2,1
2490,5365,2489,1,2
2600,5365,2599,1,2
2846,5299,2956,3,0
3365,5282,3366,2,1
3787,5341,3786,1,2
3977,5368,3978,2,1
3979,5368,4089,3,0
4006,5375,4005,1,2
4024,5323,4134,3,0
4051,5368,4052,2,1
4087,5368,4088,2,1
4089,5368,4199,3,0
4141,5317,4031,0,3
4161,5368,4162,2,1
4197,5368,4198,2,1
4199,5368,4309,3,0
4307,5368,4308,2,1
4308,5368,4309,2,1
4309,5368,4419,3,0
4356,5292,4246,0,3
4418,5368,4419,2,1
4419,5316,4420,2,1
4419,5368,4529,3,0
4468,5300,4358,0,3
4528,5368,4529,2,1
4529,5368,4639,3,0
4603,5308,4602,1,2
4638,5368,4639,2,1
4639,5368,4749,3,0
4748,5368,4749,2,1
4749,5368,4859,3,0
4793,5337,4683,0,3
4846,5316,4847,2,1
4858,5368,4859,2,1
4859,5368,5368,5,1,4860,2,1,4969,3,0
4860,5368,5368,5,1,4859,1,2
4969,5368,5368,5,1,4859,0,3,4968,1,2
5313,5365,1358,0,4
5316,5281,265,0,4
5316,5285,265,0,4
5316,5289,265,0,4
5316,5294,265,0,4
5316,5301,265,0,4
5316,5304,265,0,4
5316,5307,265,0,4
5316,5312,265,0,4
5316,5317,265,0,4
5316,5318,265,0,4
5316,5334,265,0,4
5316,5336,265,0,4
5316,5337,265,0,4
5316,5340,265,0,4
5316,5342,265,0,4
5316,5344,265,0,4
5316,5349,265,0,4
5316,5350,265,0,4
5316,5354,265,0,4
5316,5359,265,0,4
5316,5360,265,0,4
5316,5363,265,0,4
5316,5368,265,0,4
5316,5374,265,0,4
5316,5377,265,0,4
5359,5316,37,0,4
5365,5280,1248,0,4
5365,5287,1248,0,4
5365,5313,1248,0,4
5368,5364,4859,0,4
5368,5369,4859,0,4
