211,1668,1668,5,1,233,3,0
225,1668,226,2,1
226,1668,227,2,1
227,1668,228,2,1
228,1668,229,2,1
233,1668,1668,5,1,211,0,3
234,1668,233,1,2
235,1668,234,1,2
236,1668,235,1,2
250,1668,251,2,1
799,1668,777,0,3
806,1668,784,0,3
822,1668,800,0,3
827,1668,805,0,3
1668,1584,233,0,4
1668,1586,233,0,4
1668,1587,233,0,4
1668,1590,233,0,4
1668,1591,233,0,4
1668,1596,233,0,4
1668,1601,233,0,4
1668,1602,233,0,4
1668,1603,233,0,4
1668,1607,233,0,4
1668,1609,233,0,4
1668,1615,233,0,4
1668,1617,233,0,4
1668,1624,233,0,4
1668,1626,233,0,4
1668,1627,233,0,4
1668,1629,233,0,4
1668,1631,233,0,4
1668,1634,233,0,4
1668,1635,233,0,4
1668,1637,233,0,4
1668,1639,233,0,4
1668,1643,233,0,4
1668,1649,233,0,4
1668,1651,233,0,4
1668,1652,233,0,4
1668,1653,233,0,4
1668,1665,233,0,4
1668,1669,233,0,4
1668,1670,233,0,4
1668,1671,233,0,4
1668,1674,233,0,4
1668,1677,233,0,4
1668,1679,233,0,4
1668,1682,233,0,4
