207,391,220,3,0
208,391,221,2,0
217,391,230,3,0
218,391,231,3,0
219,391,232,3,0
220,391,233,3,0
221,391,391,5,1,222,1,1
222,391,391,5,1,209,0,3,221,1,1,235,3,0
234,391,221,0,2
243,391,230,0,3
244,391,231,0,3
245,391,232,0,3
246,391,233,0,3
247,391,234,0,2
259,391,246,0,3
260,391,247,0,2
272,391,259,0,3
273,391,260,0,2
285,391,272,0,3
286,391,273,0,2
298,391,285,0,3
311,391,298,0,3
324,391,311,0,3
336,391,323,0,3
363,391,216,0,4
391,363,221,0,4
391,377,221,0,4
391,399,221,0,4
391,401,221,0,4
391,414,221,0,4
391,435,221,0,4
391,440,221,0,4
