58,1304,22,0,2
61,1364,97,3,0
133,1364,169,3,0
202,1297,166,0,3
202,1334,166,0,3
205,1364,241,3,0
205,1375,169,0,3
277,1364,313,3,0
346,1336,310,0,3
346,1383,310,0,3
349,1364,385,3,0
367,1311,403,3,0
449,1312,485,3,0
485,1312,521,3,0
521,1312,557,3,0
557,1312,593,3,0
593,1312,629,3,0
629,1312,665,3,0
665,1312,701,3,0
701,1312,737,3,0
709,1320,745,3,0
737,1312,773,3,0
773,1312,809,3,0
781,1320,817,3,0
809,1312,845,3,0
845,1312,881,3,0
853,1320,889,3,0
881,1312,917,3,0
917,1312,953,3,0
925,1320,961,3,0
953,1312,989,3,0
989,1312,1025,3,0
997,1320,1033,3,0
1025,1312,1312,5,1,1026,2,1,1061,3,0
1026,1312,1312,5,1,1025,1,2
1056,1381,1055,1,2
1061,1312,1312,5,1,1025,0,3,1060,1,2
1069,1320,1105,3,0
1069,1333,1033,0,3
1119,1358,1155,3,0
1141,1320,1177,3,0
1141,1364,1177,3,0
1213,1320,1249,3,0
1213,1364,1249,3,0
1285,1364,25,3,3
1296,1376,618,0,4
1312,1328,1025,0,4
1312,1393,1025,0,4
1312,1394,1025,0,4
1327,1329,618,0,4
1328,1312,809,0,4
1329,1327,618,0,4
1376,1296,473,0,4
1393,1312,773,0,4
1394,1312,917,0,4
